"Institusjonskode";"Institusjonsnavn";"Avdelingskode";"Avdelingsnavn";"Årstall";"Semester";"Semesternavn";"Studentkategori";"Kategoritekst";"Antall totalt";"Antall kvinner";"Antall menn"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2000";"3";"Høst";"S";"Studenter";"1025";"698";"327"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2003";"3";"Høst";"S";"Studenter";"947";"664";"283"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"1996";"3";"Høst";"S";"Studenter";"638";"417";"221"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2001";"1";"Vår";"S";"Studenter";"1026";"690";"336"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2007";"1";"Vår";"S";"Studenter";"1084";"738";"346"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2006";"1";"Vår";"S";"Studenter";"1129";"768";"361"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"1997";"1";"Vår";"S";"Studenter";"543";"375";"168"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2000";"1";"Vår";"S";"Studenter";"851";"595";"256"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"1996";"1";"Vår";"S";"Studenter";"497";"338";"159"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2005";"1";"Vår";"S";"Studenter";"1079";"744";"335"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2010";"1";"Vår";"S";"Studenter";"1345";"935";"410"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"1998";"1";"Vår";"S";"Studenter";"538";"384";"154"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"1999";"1";"Vår";"S";"Studenter";"611";"428";"183"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2008";"1";"Vår";"S";"Studenter";"1186";"851";"335"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2003";"1";"Vår";"S";"Studenter";"789";"575";"214"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2011";"1";"Vår";"S";"Studenter";"1598";"1112";"486"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2009";"1";"Vår";"S";"Studenter";"1150";"829";"321"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2004";"1";"Vår";"S";"Studenter";"1037";"698";"339"
"0211";"Høgskolen i Bodø";"410000";"Fakultet for samfunnsvitenskap";"2002";"1";"Vår";"S";"Studenter";"801";"588";"213"
